390,902,1856,902,1856,1225,390,1225,0,"金氏眼镜"
1875,1170,2149,1170,2149,1245,1875,1245,0,"创于1989"
2054,1277,2190,1277,2190,1323,2054,1323,0,"城建店"
768,1648,987,1648,987,1714,768,1714,0,"金氏眼"
897,2152,988,2152,988,2182,897,2182,0,"金氏眼镜"
1457,2228,1575,2228,1575,2259,1457,2259,0,"金氏眼镜"
1858,2218,1966,2218,1966,2250,1858,2250,0,"金氏眼镜"
231,1853,308,1843,309,1885,230,1899,1,"谢#惠顾"
125,2270,180,2270,180,2288,125,2288,1,"###"
106,2297,160,2297,160,2316,106,2316,1,"###"
22,2363,82,2363,82,2383,22,2383,1,"###"
524,2511,837,2511,837,2554,524,2554,1,"###"
455,2456,921,2437,920,2478,455,2501,0,"欢迎光临"
